,High,Low,Open,Close,Day,Month,Year
1707,3315.667969,3240.071045,3257.008789,3276.119385,8,12,2019
1708,3269.263184,3173.377197,3272.338623,3189.337646,9,12,2019
1709,3194.788086,3124.433838,3194.505127,3162.249512,10,12,2019
1710,3178.443604,3092.726318,3159.863525,3108.6875,11,12,2019
1711,3125.108643,3069.965576,3107.060547,3110.874023,12,12,2019
1712,3145.888428,3089.842529,3105.870117,3142.189209,13,12,2019
1713,3156.880371,3076.148926,3142.117676,3090.699463,14,12,2019
1714,3132.421875,3022.639404,3099.44751,3093.026611,15,12,2019
1715,3110.331055,2839.57959,3094.958496,2862.686279,16,12,2019
1716,2870.94165,2622.975342,2861.577881,2634.221191,17,12,2019
1717,2918.095215,2603.775635,2636.554443,2895.272705,18,12,2019
1718,2929.287598,2782.799561,2896.331543,2843.590576,19,12,2019
1719,2885.786621,2820.809326,2844.987305,2864.610107,20,12,2019
1720,2867.8396,2825.171631,2865.652344,2843.754639,21,12,2019
1721,3004.302002,2840.685059,2844.697998,2983.727783,22,12,2019
1722,3030.29541,2900.323486,2982.954346,2909.185791,23,12,2019
1723,2970.443359,2866.397217,2910.282715,2898.715088,24,12,2019
1724,2904.36499,2842.101074,2902.745117,2895.262451,25,12,2019
1725,2949.572754,2838.596924,2893.756348,2871.000488,26,12,2019
1726,2975.063965,2854.554932,2870.69458,2941.253906,27,12,2019
1727,3129.371826,2937.74585,2940.324219,3060.134277,28,12,2019
1728,3175.106445,3031.517822,3056.935791,3119.466309,29,12,2019
1729,3181.246338,3026.294922,3125.414795,3048.825439,30,12,2019
1730,3070.289063,2935.49585,3050.164795,2947.588623,31,12,2019
1731,3011.877197,2940.86377,2946.623291,2992.837891,1,1,2020
1732,3006.335205,2831.442139,2992.86377,2841.391846,2,1,2020
1733,3046.051758,2831.031982,2844.25415,3043.78418,3,1,2020
1734,3110.315918,3009.159424,3041.484131,3109.160645,4,1,2020
1735,3210.247314,3085.731689,3106.632813,3125.536865,5,1,2020
1736,3299.628174,3122.756592,3129.174561,3289.467285,6,1,2020
1737,3372.234131,3218.559082,3291.070313,3341.014648,7,1,2020
1738,3443.938232,3188.464355,3342.725342,3261.820068,8,1,2020
1739,3259.205566,3154.737305,3259.56958,3219.200195,9,1,2020
1740,3490.394775,3125.954102,3218.887451,3459.20166,10,1,2020
1741,3642.736816,3412.375977,3452.566162,3495.78125,11,1,2020
1742,3640.283447,3478.060547,3499.711426,3624.807129,12,1,2020
1743,3634.783691,3461.057617,3627.757324,3517.61499,13,1,2020
1744,4242.910156,3520.809082,3515.040039,4143.481445,14,1,2020
1745,4237.996582,3972.336914,4137.248047,4105.72998,15,1,2020
1746,4136.858398,3913.111816,4105.384277,4088.338135,16,1,2020
1747,4467.90625,4042.30249,4090.091553,4368.272949,17,1,2020
1748,4416.479492,4157.836914,4355.180176,4220.609863,18,1,2020
